,airport_code,cy17,cy16,perc_change
185,STX,195634,196047,-0.21
186,STS,195288,167151,16.83
187,TRI,193068,204926,-5.79
188,DRO,186914,187789,-0.47
189,LAN,186621,161863,15.3
190,GTF,171043,176730,-3.22
191,BMI,163473,188490,-13.27
192,AEX,156144,129776,20.32
193,OAJ,155342,149987,3.57
194,GRK,154949,157161,-1.41
195,EGE,154572,163840,-5.66
196,LNK,154450,162876,-5.17
197,MGM,152771,173210,-11.8
198,LBE,151207,146127,3.48
199,IDA,147721,146213,1.03
200,BET,146652,155791,-5.87
201,AZO,146308,154242,-5.14
202,RST,143614,112864,27.25
203,IAG,142605,126028,13.15
204,MOT,141161,150634,-6.29
205,PBG,139398,129622,7.54
206,UNV,138423,134312,3.06
207,1G4,137771,128739,7.02
208,LCK,133543,102751,29.97
209,KTN,131144,127881,2.55
210,ELM,126469,139583,-9.4
211,BLV,123841,79988,54.82
212,MTJ,123201,116272,5.96
213,DLH,122717,124284,-1.26
214,GFK,117520,132557,-11.34
215,CWA,116404,119222,-2.36
216,BRO,116184,120151,-3.3
217,IFP,115338,109334,5.49
218,ACK,113009,126197,-10.45
219,RFD,112860,101790,10.88
220,EWN,111147,106110,4.75
221,MBS,110957,122469,-9.4
222,HLN,103771,103239,0.52
223,HTS,103718,98489,5.31
224,SAF,103676,71252,45.51
225,SGU,103568,78680,31.63
226,MLU,103547,102342,1.18
227,TOL,102984,92522,11.31
228,CMI,100131,89318,12.11
229,BFL,99472,100433,-0.96
230,ITH,97212,88692,9.61
231,CPR,96838,92805,4.35
232,HDN,96403,107339,-10.19
233,SCK,96201,93076,3.36
234,ENA,92929,92485,0.48
235,LSE,92101,94047,-2.07
236,SPI,92043,93269,-1.31
237,PVU,91564,78451,16.71
238,LRD,91451,101115,-9.56
239,PSE,89334,105804,-15.57
240,COU,88641,65014,36.34
241,SUN,86634,77729,11.46
242,FSM,85726,83920,2.15
243,ERI,85628,87647,-2.3
244,ABI,85085,84809,0.33
245,MKK,84139,92560,-9.1
246,SIT,83598,83404,0.23
247,ADQ,83577,79682,4.89
248,LYH,82489,75465,9.31
249,NYL,79559,74742,6.44
250,LWS,76729,72724,5.51
251,CLL,73430,78907,-6.94
252,YKM,71547,70993,0.78
253,PPG,71401,65439,9.11
