,Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
11831,2017071341523,31-May-17,5/5/2017 0:00,ORD,Airport,American Airlines,Passenger Property Loss,Checkpoint,Personal Electronics,-,In Review
11834,2017112245337,31-Oct-17,10/24/2017 16:30,ORD,Airport,UAL,Property Damage,Checkpoint,Clothing,-,In Review
11835,2017112245337,1-Dec-17,9/17/2017 0:00,ORF,Norfolk International,-,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,*Insufficient
11836,2017112245337,5-Apr-17,4/2/2017 16:30,ORF,Norfolk International,Delta Air Lines,Property Damage,Checkpoint,Computer & Accessories,-,In Review
11837,2017112245337,5-Apr-17,1/10/2017 0:00,ORF,Norfolk International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,$0.00,Deny
11838,2017112245337,6-Apr-17,2/7/2017 5:54,ORF,Norfolk International,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing,-,In Review
11839,2017112245337,6-Nov-17,10/10/2017 8:20,ORF,Norfolk International,UAL,Passenger Property Loss,Checked Baggage,Cameras,-,In Review
11840,2017112245337,6-Sep-17,5/11/2017 17:00,ORF,Norfolk International,American Eagle,Passenger Property Loss,Checked Baggage,Personal Accessories,-,In Review
11841,2017112245337,7-Apr-17,3/17/2017 0:00,ORF,Norfolk International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other; Tools & Home Improvement Supplies,-,In Review
11842,2017112245337,7-Aug-17,7/18/2017 0:00,ORF,Norfolk International,UAL,Passenger Property Loss,Checked Baggage,Travel Accessories,-,In Review
11843,2017112245337,7-Nov-17,10/2/2017 0:00,ORF,Norfolk International,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Books, Magazines & Other",-,In Review
11844,2017112245337,7-Sep-17,8/25/2017 11:00,ORF,Norfolk International,Southwest Airlines,Property Damage,Checked Baggage,Computer & Accessories; Travel Accessories,-,*Insufficient
11845,2017112245337,8-Jun-17,6/3/2017 0:00,ORF,Norfolk International,Southwest Airlines,Property Damage,Checked Baggage,Other,-,In Review
11846,2017112245337,10-Aug-17,8/6/2017 8:05,ORF,Norfolk International,UAL,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,In Review
11847,2017112245337,10-Oct-17,10/1/2017 0:00,ORF,Norfolk International,UAL,Property Damage,Checked Baggage,Travel Accessories,-,In Review
11848,2017112245337,11-Jul-17,7/6/2017 0:00,ORF,Norfolk International,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
11849,2017112245337,11-Sep-17,9/3/2017 0:00,ORF,Norfolk International,UAL,Passenger Property Loss,Checked Baggage,-,-,In Review
11850,2017112245337,12-Dec-17,12/3/2017 0:00,ORF,Norfolk International,-,Property Damage,Checkpoint,-,-,In Review
11851,2017112245337,13-Apr-17,4/6/2017 0:00,ORF,Norfolk International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,-,In Review
11852,2017112245337,13-Mar-17,3/5/2017 6:00,ORF,Norfolk International,UAL,Passenger Property Loss,Checked Baggage,Food & Drink; Sporting Equipment & Supplies,$0.00,Deny
11853,2017112245337,14-Dec-17,10/25/2017 10:00,ORF,Norfolk International,UAL,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,In Review
11854,2017112245337,14-Jun-17,5/8/2017 10:58,ORF,Norfolk International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
11855,2017112245337,14-Mar-17,3/4/2017 21:15,ORF,Norfolk International,Delta Air Lines,Property Damage,Checked Baggage,Toys & Games,-,In Review
11856,2017112245337,15-Dec-17,11/21/2017 4:59,ORF,Norfolk International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,-,In Review
11857,2017112245337,16-Oct-17,10/14/2017 11:30,ORF,Norfolk International,American Airlines,Property Damage,Checked Baggage,-,-,In Review
11858,2017112245337,17-Aug-17,7/18/2017 0:00,ORF,Norfolk International,UAL,Passenger Property Loss,Checked Baggage,Travel Accessories,-,In Review
11859,2017112245337,17-May-17,5/6/2017 0:00,ORF,Norfolk International,American Airlines,Property Damage,Checkpoint,Personal Electronics,$263.94,Approve in Full
11860,2017112245337,20-Jun-17,6/16/2017 16:35,ORF,Norfolk International,Not Provided,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,*Insufficient
11861,2017112245337,20-Mar-17,3/11/2017 7:30,ORF,Norfolk International,Delta Air Lines,Passenger Property Loss,Checked Baggage,-,-,In Review
11862,2017112245337,20-Nov-17,11/13/2017 12:00,ORF,Norfolk International,American Airlines,Property Damage,Checked Baggage,Audio/Video,-,In Review
11863,2017112245337,21-Jun-17,4/20/2017 0:00,ORF,Norfolk International,American Airlines,Property Damage,Checkpoint,Personal Accessories,$79.00,Approve in Full
11864,2017112245337,21-Sep-17,8/30/2017 0:00,ORF,Norfolk International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
11865,2017112245337,22-Aug-17,7/25/2017 0:00,ORF,Norfolk International,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,$65.00,Pending Payment
11866,2017112245337,23-Mar-17,3/22/2017 0:00,ORF,Norfolk International,American Airlines,Passenger Property Loss,Motor Vehicle,-,-,In Review
11867,2017112245337,24-Aug-17,8/11/2017 0:00,ORF,Norfolk International,Delta Air Lines,Property Damage,Checkpoint,Computer & Accessories,-,In Review
11868,2017112245337,26-Jul-17,6/21/2017 0:00,ORF,Norfolk International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing,-,*Insufficient
11869,2017112245337,27-Sep-17,9/20/2017 10:05,ORF,Norfolk International,Southwest Airlines,-,Checkpoint,Personal Accessories,-,In Review
11870,2017112245337,28-Mar-17,3/23/2017 14:30,ORF,Norfolk International,UAL,Passenger Property Loss,Checked Baggage,Computer & Accessories; Personal Electronics; Travel Accessories,-,In Review
11871,2017112245337,29-Sep-17,9/21/2017 0:00,ORF,Norfolk International,American Airlines,Passenger Property Loss,Checked Baggage,Computer & Accessories; Other,-,In Review
11872,2017112245337,29-Sep-17,9/25/2017 0:00,ORF,Norfolk International,UAL,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,In Review
11873,2017112245337,30-Nov-17,10/3/2017 0:00,ORF,Norfolk International,UAL,Passenger Property Loss,Checked Baggage,Personal Electronics,-,In Review
11874,2017112245337,31-Jan-17,1/17/2017 0:00,ORF,Norfolk International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,-,In Review
11875,2017112245337,14-Jul-17,7/2/2017 0:00,OTH,North Bend Municipal,UAL,Property Damage,Checked Baggage,Sporting Equipment & Supplies,-,In Review
11876,2017112245337,30-May-17,5/29/2017 0:00,OTH,North Bend Municipal,-,Property Damage,Checked Baggage,Sporting Equipment & Supplies,-,In Review
11877,2017112245337,19-Jul-17,7/2/2017 0:00,PAH,Barkley Regional Airport,UAL,Passenger Property Loss,Checked Baggage,Travel Accessories,-,In Review
11878,2017112245337,30-Jan-17,1/22/2017 12:00,PBG,Plattsburgh International Aiport,Allegiant Air,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
11879,2017112245337,1-May-17,4/7/2017 7:30,PBI,Palm Beach International,American Airlines,Property Damage,Checked Baggage,Home Decor,$0.00,Deny
11880,2017112245337,1-Sep-17,8/3/2017 11:30,PBI,Palm Beach International,Delta Air Lines,Passenger Property Loss,Checkpoint,Jewelry & Watches; Other,-,In Review
11881,2017112245337,2-Jun-17,5/21/2017 0:00,PBI,Palm Beach International,Jet Blue,Passenger Property Loss,Checked Baggage,Clothing,-,*Insufficient
11882,2017112245337,3-Apr-17,3/3/2017 0:00,PBI,Palm Beach International,Southwest Airlines,Property Damage,Checked Baggage,Household Items,$0.00,Deny
11883,2017112245337,3-Mar-17,2/27/2017 0:00,PBI,Palm Beach International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Currency,$100.00,Approve in Full
11884,2017112245337,4-Apr-17,3/27/2017 0:00,PBI,Palm Beach International,Delta Air Lines,Passenger Property Loss,Checkpoint,Household Items,-,*Insufficient
11885,2017112245337,5-Apr-17,3/9/2017 8:00,PBI,Palm Beach International,American Airlines,Passenger Property Loss,Checkpoint,Audio/Video,-,In Review
11886,2017112245337,5-Jun-17,4/7/2017 15:00,PBI,Palm Beach International,American Airlines,Property Damage,Checkpoint,Jewelry & Watches,-,In Review
11887,2017112245337,5-May-17,4/9/2017 0:00,PBI,Palm Beach International,Delta Air Lines,Passenger Property Loss,Checkpoint,Jewelry & Watches,$0.00,Deny
11888,2017112245337,6-Dec-17,10/30/2017 0:00,PBI,Palm Beach International,Delta Air Lines,Property Damage,Checkpoint,-,-,In Review
11889,2017112245337,8-Sep-17,7/19/2017 19:15,PBI,Palm Beach International,Jet Blue,Property Damage,Checkpoint,Audio/Video,-,In Review
11890,2017112245337,9-Nov-17,9/15/2017 21:30,PBI,Palm Beach International,Jet Blue,Property Damage,Checkpoint,Jewelry & Watches,-,In Review
11891,2017112245337,9-Nov-17,10/28/2017 0:00,PBI,Palm Beach International,Delta Air Lines,Passenger Property Loss,Checked Baggage,-,-,In Review
11892,2017112245337,10-Apr-17,4/2/2017 15:00,PBI,Palm Beach International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
11893,2017112245337,10-Aug-17,7/11/2017 5:29,PBI,Palm Beach International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,-,In Review
11894,2017112245337,13-Jul-17,7/11/2017 0:00,PBI,Palm Beach International,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,In Review
11895,2017112245337,13-Jul-17,6/24/2017 17:00,PBI,Palm Beach International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,-,In Review
11896,2017112245337,13-Jun-17,6/7/2017 0:00,PBI,Palm Beach International,American Airlines,Property Damage,Checkpoint,Personal Electronics,-,In Review
11897,2017112245337,13-Jun-17,4/7/2017 0:00,PBI,Palm Beach International,UAL,Passenger Property Loss,Checked Baggage,Other,$23.84,Approve in Full
11898,2017112245337,14-Jun-17,5/15/2017 17:06,PBI,Palm Beach International,-,Property Damage,-,Sporting Equipment & Supplies,-,In Review
11899,2017112245337,15-Dec-17,11/17/2017 19:00,PBI,Palm Beach International,Spirit Airlines,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,In Review
11900,2017112245337,16-Oct-17,10/10/2017 0:00,PBI,Palm Beach International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,-,Received
11901,2017112245337,17-Jul-17,7/15/2017 10:34,PBI,Palm Beach International,Delta Air Lines,Property Damage,Checkpoint,Baggage/Cases/Purses,-,In Review
