,Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
3,2017042438845,16-Feb-17,1/20/2017 0:00,ABE,Allentown,-,Property Damage,Checked Baggage,Cosmetics & Grooming,-,In Review
6,2017122746302,21-Nov-17,11/9/2017 15:45,ABE,Allentown,American Airlines,Property Damage,Checked Baggage,Personal Electronics,-,In Review
9,2017071341549,22-Jun-17,6/15/2017 0:00,ABE,Allentown,American Airlines,Property Damage,Checked Baggage,Personal Electronics,-,In Review
12,2017091343010,1-Aug-17,7/24/2017 12:00,ABQ,Airport,American Eagle,Passenger Property Loss,Checkpoint,Medical/Science,$0.00,Deny
15,2017082442462,1-Jul-17,3/19/2017 11:25,ABQ,Airport,Southwest Airlines,Property Damage,Checked Baggage,Clothing; Cosmetics & Grooming,-,In Review
18,2017062140920,2-May-17,4/4/2017 0:00,ABQ,Airport,Jet Blue,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
21,2017102344611,3-Oct-17,10/2/2017 0:00,ABQ,Airport,American Airlines,Property Damage,Checked Baggage,Home Decor,-,In Review
24,2017102644741,3-Oct-17,10/1/2017 0:00,ABQ,Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,-,In Review
27,2017102544669,4-Oct-17,9/29/2017 0:00,ABQ,Airport,UAL,Property Damage,Checked Baggage,Other; Other,-,*Insufficient
30,2017072541835,5-Jun-17,6/5/2017 7:24,ABQ,Airport,Southwest Airlines,Property Damage,Checked Baggage,Tools & Home Improvement Supplies,-,In Review
33,2017033138320,6-Feb-17,1/25/2017 0:00,ABQ,Airport,Delta Air Lines,Property Damage,Checked Baggage,Computer & Accessories,-,In Review
36,2017051239477,7-Apr-17,4/2/2017 0:00,ABQ,Airport,Not Provided,Passenger Property Loss,Checkpoint,Currency,$0.00,Deny
39,2017120745786,7-Dec-17,10/15/2017 8:11,ABQ,Airport,Southwest Airlines,Property Damage,Checked Baggage,Clothing; Food & Drink,-,In Review
42,2018010246400,7-Dec-17,11/26/2017 17:22,ABQ,Airport,Southwest Airlines,Property Damage,Checkpoint,Personal Electronics,-,In Review
45,2017040738423,7-Feb-17,1/28/2017 0:00,ABQ,Airport,Alaska Airlines,Property Damage,Checked Baggage,Cosmetics & Grooming,$35.99,Approve in Full
48,2017112245344,8-Nov-17,10/26/2017 4:06,ABQ,Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,-,-,In Review
51,2017092543520,9-Aug-17,7/7/2017 8:46,ABQ,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,-,In Review
54,2017121946077,11-Dec-17,12/7/2017 0:00,ABQ,Airport,Not Provided,Property Damage,Checkpoint,Personal Accessories,-,In Review
57,2017101144217,11-Oct-17,7/29/2017 11:30,ABQ,Airport,Southwest Airlines,Property Damage,Checked Baggage,Computer & Accessories; Household Items,-,In Review
60,2017091142843,13-Jul-17,6/15/2017 0:00,ABQ,Airport,Southwest Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
63,2017092043332,13-Sep-17,8/20/2017 0:00,ABQ,Airport,UAL,Passenger Property Loss,Checked Baggage,Personal Electronics,-,In Review
66,2018010446461,14-Dec-17,9/22/2017 11:45,ABQ,Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Jewelry & Watches,-,In Review
69,2017072741927,14-Jun-17,6/1/2017 6:48,ABQ,Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Home Decor,-,In Review
72,2017072741887,15-Jun-17,6/10/2017 17:30,ABQ,Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Food & Drink; Food & Drink,-,In Review
75,2017070341165,15-May-17,4/16/2017 0:00,ABQ,Airport,Southwest Airlines,Property Damage,Checked Baggage,Personal Electronics,-,In Review
78,2017062640995,16-Jun-17,6/11/2017 0:00,ABQ,Airport,American Eagle,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,*Insufficient
81,2017091142867,17-Jul-17,7/14/2017 16:15,ABQ,Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
84,2017122146222,17-Nov-17,11/10/2017 16:00,ABQ,Airport,Southwest Airlines,Property Damage,Checked Baggage,Clothing,-,In Review
87,2017112445376,18-Oct-17,7/11/2017 0:00,ABQ,Airport,Delta Air Lines,Property Damage,Checked Baggage,Musical Instruments & Accessories,-,In Review
90,2017042038729,20-Apr-17,1/17/2017 0:00,ABQ,Airport,UAL,Passenger Property Loss,Checked Baggage,Travel Accessories,$12.50,Approve in Full
93,2017060840391,20-Apr-17,4/13/2017 6:00,ABQ,Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,$50.00,Settle
96,2017111945239,20-Oct-17,7/23/2017 10:46,ABQ,Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,-,In Review
99,2017051039393,21-Mar-17,2/22/2017 0:00,ABQ,Airport,American Airlines,Property Damage,Checkpoint,Baggage/Cases/Purses,-,In Review
102,2017092743612,22-Aug-17,7/13/2017 11:40,ABQ,Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Tools & Home Improvement Supplies,-,In Review
105,2017042138770,22-Feb-17,2/18/2017 12:00,ABQ,Airport,American Airlines,Property Damage,Checked Baggage,Home Decor,$200.00,Approve in Full
108,2017080242031,22-Jun-17,5/15/2017 0:00,ABQ,Airport,-,Property Damage,Checked Baggage,-,-,In Review
111,2017051039398,23-Mar-17,3/14/2017 0:00,ABQ,Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Baggage/Cases/Purses; Other,-,In Review
114,2017112545419,23-Oct-17,10/22/2017 0:00,ABQ,Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,-,In Review
117,2017042138771,24-Feb-17,2/18/2017 0:00,ABQ,Airport,American Airlines,Property Damage,Checked Baggage,Other,-,Closed: Canceled
120,2017060140092,25-Apr-17,4/15/2017 0:00,ABQ,Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,$10.27,Approve in Full
123,2017071141342,25-May-17,2/17/2017 0:00,ABQ,Airport,UAL,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,In Review
126,2017102644714,26-Oct-17,9/15/2017 0:00,ABQ,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,*Insufficient
129,2017101144191,26-Sep-17,9/15/2017 0:00,ABQ,Airport,Southwest Airlines,Property Damage,Checkpoint,Travel Accessories,-,In Review
132,2017042739034,27-Apr-17,2/7/2017 0:00,ABQ,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,-,In Review
135,2017091342997,27-Jul-17,6/25/2017 0:00,ABQ,Airport,American Airlines,Property Damage,Checked Baggage,Computer & Accessories,-,In Review
138,2017101744451,29-Sep-17,9/17/2017 0:00,ABQ,Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,In Review
141,2017112845510,31-Oct-17,10/17/2017 0:00,ABQ,Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Audio/Video,-,In Review
143,2017051539494,3-Apr-17,3/21/2017 7:00,ABY,Southwest Georgia Regional Airport,UAL,Property Damage,Checkpoint,Clothing,-,In Review
144,2017051539494,3-Aug-17,6/12/2017 8:54,ACT,Waco Regional Airport,American Airlines,Passenger Property Loss,Checked Baggage,Automobile Parts & Accessories; Cosmetics & Grooming,-,In Review
145,2017051539494,18-Sep-17,8/24/2017 0:00,ACT,Waco Regional Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
146,2017051539494,22-May-17,5/7/2017 5:00,ACT,Waco Regional Airport,American Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,$4.99,Approve in Full
147,2017051539494,23-Mar-17,2/27/2017 0:00,ACT,Waco Regional Airport,American Airlines,Passenger Property Loss,Checkpoint,Jewelry & Watches,-,In Review
148,2017051539494,27-Jul-17,6/12/2017 8:54,ACT,Waco Regional Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing; Cosmetics & Grooming; Other,-,In Review
149,2017051539494,30-Jun-17,6/10/2017 0:00,ACT,Waco Regional Airport,American Airlines,Passenger Property Loss,Other,Jewelry & Watches,-,*Insufficient
150,2017051539494,6-Jun-17,5/26/2017 0:00,ACY,Atlantic City International,Spirit Airlines,Passenger Property Loss,Checked Baggage,Other,-,In Review
151,2017051539494,8-Sep-17,8/23/2017 0:00,ACY,Atlantic City International,Spirit Airlines,Passenger Property Loss,Checked Baggage,Currency,-,In Review
152,2017051539494,9-Dec-17,12/7/2017 10:30,ACY,Atlantic City International,Spirit Airlines,Passenger Property Loss,Checkpoint,Computer & Accessories,-,*Insufficient
153,2017051539494,9-Mar-17,3/6/2017 0:00,ACY,Atlantic City International,Spirit Airlines,Property Damage,Checked Baggage,Audio/Video,-,Closed: Canceled
154,2017051539494,9-Mar-17,3/6/2017 13:29,ACY,Atlantic City International,Spirit Airlines,Property Damage,Checked Baggage,Audio/Video,$140.00,Approve in Full
155,2017051539494,11-Jul-17,6/21/2017 10:00,ACY,Atlantic City International,Spirit Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,-,In Review
156,2017051539494,19-Oct-17,7/24/2017 0:00,ACY,Atlantic City International,Spirit Airlines,Complaint,Other,-,-,Closed: Canceled
157,2017051539494,23-Aug-17,8/10/2017 18:00,ADK,Adak Mitchell Field Airport,-,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
159,2017112945610,16-Nov-17,10/29/2017 0:00,AEX,Alexandria International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,-,-,*Insufficient
160,2017112945610,4-Dec-17,11/28/2017 0:00,AGS,Bush Field,American Airlines,Property Damage,Checked Baggage,Computer & Accessories,-,In Review
161,2017112945610,12-Sep-17,8/29/2017 0:00,AGS,Bush Field,American Airlines,Property Damage,Checked Baggage,Computer & Accessories,-,In Review
162,2017112945610,14-Dec-17,10/30/2017 8:30,AGS,Bush Field,Delta Air Lines,Property Damage,Checkpoint,Personal Electronics,-,In Review
163,2017112945610,17-Feb-17,2/13/2017 0:00,AGS,Bush Field,American Airlines,Passenger Property Loss,Checked Baggage,Household Items,$0.00,Deny
164,2017112945610,30-Aug-17,8/13/2017 8:00,AGS,Bush Field,Not Provided,Passenger Theft,Checkpoint,Currency,-,In Review
165,2017112945610,21-Apr-17,2/21/2017 0:00,AIA,Alliance Municipal Airport,-,-,-,-,-,Closed: Canceled
166,2017112945610,7-Sep-17,7/4/2017 17:20,AKN,King Salmon,Alaska Airlines,Passenger Property Loss,Checked Baggage,Home Decor,-,In Review
167,2017112945610,6-Apr-17,3/10/2017 11:30,ALB,Albany International,Jet Blue,Property Damage,Checkpoint,Personal Accessories,-,In Review
168,2017112945610,9-May-17,4/14/2017 0:00,ALB,Albany International,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
169,2017112945610,10-Feb-17,1/9/2017 0:00,ALB,Albany International,Southwest Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
170,2017112945610,11-Aug-17,5/3/2017 0:00,ALB,Albany International,American Airlines,Passenger Property Loss,Checked Baggage,Computer & Accessories,$0.00,Deny
171,2017112945610,11-Sep-17,9/2/2017 0:00,ALB,Albany International,American Airlines,Passenger Property Loss,Checked Baggage,-,-,In Review
172,2017112945610,12-Apr-17,3/15/2017 0:00,ALB,Albany International,Jet Blue,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,-,In Review
173,2017112945610,14-Dec-17,11/27/2017 9:00,ALB,Albany International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,-,In Review
174,2017112945610,19-Oct-17,10/7/2017 15:30,ALB,Albany International,American Airlines,Passenger Property Loss,Checked Baggage,Food & Drink,-,In Review
175,2017112945610,22-Nov-17,7/26/2017 0:00,ALB,Albany International,UAL,Passenger Property Loss,Checked Baggage,Jewelry & Watches; Other,-,In Review
176,2017112945610,22-Nov-17,11/9/2017 0:00,ALB,Albany International,Southwest Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
177,2017112945610,23-Oct-17,10/20/2017 0:00,ALB,Albany International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,In Review
178,2017112945610,26-Dec-17,10/7/2017 0:00,ALB,Albany International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
179,2017112945610,27-Feb-17,2/25/2017 16:30,ALB,Albany International,Southwest Airlines,Property Damage,Checked Baggage,Audio/Video,-,In Review
180,2017112945610,27-Jun-17,6/14/2017 0:00,ALB,Albany International,Southwest Airlines,Passenger Property Loss,Checkpoint,Medical/Science,$10.00,Approve in Full
181,2017112945610,27-Nov-17,10/26/2017 6:00,ALB,Albany International,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
182,2017112945610,29-Sep-17,9/25/2017 0:00,ALB,Albany International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Tools & Home Improvement Supplies,-,In Review
183,2017112945610,31-May-17,5/20/2017 5:30,ALB,Albany International,Southwest Airlines,Property Damage,Checkpoint,Personal Electronics,-,In Review
185,2017061340591,28-Apr-17,4/23/2017 0:00,ALW,Walla Walla Regional Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Food & Drink,$0.00,Deny
188,2017041038466,8-Feb-17,1/8/2017 0:00,AMA,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,$38.88,Approve in Full
191,2017071141373,18-May-17,5/18/2017 7:45,AMA,Airport,UAL,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,*Insufficient
194,2017122146226,21-Nov-17,11/13/2017 14:00,AMA,Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,-,In Review
197,2017082342402,23-Aug-17,8/11/2017 7:58,AMA,Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
200,2017082442454,1-Jul-17,6/11/2017 22:30,ANC,International Airport,Jet Blue,Property Damage,Checkpoint,Household Items,-,In Review
203,2017041038450,2-Feb-17,1/4/2017 16:30,ANC,International Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Food & Drink; Home Decor,$300.00,Approve in Full
206,2017102644782,2-Oct-17,9/20/2017 0:00,ANC,International Airport,Delta Air Lines,Property Damage,Checkpoint,Home Decor,-,In Review
209,2017112845516,3-Nov-17,10/2/2017 0:00,ANC,International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Incidentals,-,In Review
212,2017100443967,6-Sep-17,8/4/2017 20:50,ANC,International Airport,Alaska Airlines,Property Damage,Checkpoint,Baggage/Cases/Purses,-,In Review
215,2018010246397,7-Dec-17,6/28/2017 0:00,ANC,International Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
218,2017070741275,7-Jul-17,5/7/2017 6:30,ANC,International Airport,Alaska Airlines,Property Damage,Checked Baggage,Toys & Games,-,In Review
221,2018010946707,11-Dec-17,12/10/2017 0:00,ANC,International Airport,-,Passenger Property Loss,Checked Baggage,Cameras,-,*Insufficient
224,2017110144966,12-Oct-17,9/27/2017 0:00,ANC,International Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,In Review
227,2017092043334,13-Sep-17,8/4/2017 0:00,ANC,International Airport,Alaska Airlines,Property Damage,Checked Baggage,Computer & Accessories,-,In Review
230,2017072541827,14-Jun-17,6/13/2017 0:19,ANC,International Airport,-,Property Damage,Checked Baggage,Sporting Equipment & Supplies,-,In Review
233,2017102344632,14-Sep-17,8/13/2017 0:00,ANC,International Airport,Delta Air Lines,Property Damage,Checkpoint,Jewelry & Watches,-,In Review
236,2017081542204,15-Aug-17,4/30/2017 0:00,ANC,International Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,-,In Review
239,2017092143448,15-Aug-17,7/31/2017 0:00,ANC,International Airport,American Airlines,Property Damage,Checked Baggage,Sporting Equipment & Supplies; Travel Accessories,-,In Review
242,2017091342980,16-Aug-17,7/7/2017 20:25,ANC,International Airport,Alaska Airlines,Property Damage,Checked Baggage,Audio/Video; Baggage/Cases/Purses,-,In Review
245,2017110645009,17-Oct-17,10/4/2017 0:00,ANC,International Airport,Alaska Airlines,Property Damage,Checked Baggage,Personal Electronics,-,In Review
248,2017091843183,18-Sep-17,6/18/2017 0:00,ANC,International Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,-,-,In Review
251,2017101744429,18-Sep-17,8/4/2017 0:00,ANC,International Airport,Sun Country Airlines Inc,Property Damage,Checkpoint,Travel Accessories,-,In Review
254,2017032038065,19-Jan-17,1/9/2017 19:15,ANC,International Airport,-,Property Damage,Checkpoint,Personal Electronics,$169.99,Settle
257,2017070741293,20-Jun-17,6/19/2017 7:00,ANC,International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Toys & Games,-,In Review
260,2017121245974,20-Nov-17,9/16/2017 0:00,ANC,International Airport,Air Canada,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
263,2017102644807,20-Sep-17,7/28/2017 0:00,ANC,International Airport,Alaska Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
266,2017121245893,21-Nov-17,11/3/2017 21:50,ANC,International Airport,Alaska Airlines,Passenger Property Loss,Checkpoint,Hunting & Fishing Items,-,In Review
269,2017092843716,23-Aug-17,7/24/2017 0:00,ANC,International Airport,Alaska Airlines,Property Damage,Checked Baggage,Sporting Equipment & Supplies,-,In Review
272,2017090842831,25-Jul-17,5/31/2017 0:00,ANC,International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Food & Drink,-,In Review
275,2017070741255,25-May-17,3/4/2017 23:30,ANC,International Airport,Alaska Airlines,Property Damage,Checked Baggage,Household Items,-,In Review
278,2017071241402,26-May-17,5/25/2017 0:00,ANC,International Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Medical/Science,-,*Insufficient
281,2017112945600,27-Oct-17,10/21/2017 12:50,ANC,International Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Personal Accessories,-,In Review
284,2018010946568,29-Dec-17,10/4/2017 15:30,ANC,International Airport,-,Passenger Property Loss,Checked Baggage,-,-,In Review
285,2018010946568,4-Jan-17,1/1/2017 0:00,ART,Watertown International,American Airlines,Passenger Property Loss,Checked Baggage,Clothing,$0.00,Deny
286,2018010946568,21-Jul-17,6/21/2017 0:00,ART,Watertown International,American Airlines,Property Damage,Checked Baggage,Other,-,In Review
288,2017051839716,7-Mar-17,3/1/2017 0:00,ASE,Aspen Pitkin County Sardy Field,Delta Air Lines,Property Damage,Checked Baggage,Clothing,-,In Review
290,2017110745018,7-Nov-17,11/5/2017 0:00,ASE,Aspen Pitkin County Sardy Field,Air Aruba,Passenger Property Loss,-,-,-,Closed: Canceled
292,2017121245859,9-Nov-17,10/12/2017 0:00,ASE,Aspen Pitkin County Sardy Field,UAL,Property Damage,Checked Baggage,Cosmetics & Grooming,-,In Review
294,2017041438574,13-Feb-17,1/29/2017 0:00,ASE,Aspen Pitkin County Sardy Field,UAL,Passenger Property Loss,Checkpoint,Clothing,-,In Review
296,2017083042524,23-Aug-17,8/17/2017 0:00,ASE,Aspen Pitkin County Sardy Field,UAL,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,In Review
299,2017121846042,1-Dec-17,11/17/2017 20:00,ATL,International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Clothing,-,In Review
302,2017120845811,1-Dec-17,11/21/2017 0:00,ATL,International Airport,Delta Air Lines,Property Damage,Checkpoint,Audio/Video,-,*Insufficient
305,2017082442439,1-Jul-17,4/13/2017 19:00,ATL,International Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Incidentals,-,In Review
308,2017082442461,1-Jul-17,6/11/2017 18:37,ATL,International Airport,American Airlines,Property Damage,Checkpoint,Audio/Video,-,In Review
311,2017071241400,1-Jun-17,5/30/2017 0:00,ATL,International Airport,Delta Air Lines,Property Damage,Checked Baggage,Audio/Video,-,In Review
314,2017042739012,1-Mar-17,1/8/2017 0:00,ATL,International Airport,Delta Air Lines,Property Damage,Checked Baggage,Food & Drink,$0.00,Deny
317,2017052539970,1-May-17,3/26/2017 0:00,ATL,International Airport,Delta Air Lines,Property Damage,Checked Baggage,Travel Accessories,-,In Review
320,2017051839653,1-May-17,4/24/2017 0:00,ATL,International Airport,-,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,-,In Review
323,2017061340492,1-May-17,4/23/2017 12:00,ATL,International Airport,Southwest Airlines,Property Damage,Checkpoint,Home Decor,-,*Insufficient
326,2017092943851,1-Sep-17,8/28/2017 0:00,ATL,International Airport,-,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
329,2017100443965,1-Sep-17,7/23/2017 6:30,ATL,International Airport,Spirit Airlines,Passenger Property Loss,Checkpoint,Other,-,In Review
332,2017091343025,2-Aug-17,8/1/2017 0:00,ATL,International Airport,Jet Blue,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,In Review
335,2017091343038,2-Aug-17,8/1/2017 0:00,ATL,International Airport,-,Property Damage,Checkpoint,Personal Electronics,-,In Review
338,2017091242955,2-Aug-17,7/24/2017 0:00,ATL,International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Baggage/Cases/Purses,-,*Insufficient
341,2018011046737,2-Jan-17,12/6/2017 0:00,ATL,International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Medical/Science,-,In Review
344,2018011146748,2-Jan-17,12/8/2017 0:00,ATL,International Airport,-,Passenger Property Loss,Checkpoint,Clothing,-,In Review
347,2017060540171,2-Mar-17,2/24/2017 8:45,ATL,International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,In Review
350,2017062741018,2-May-17,3/27/2017 0:00,ATL,International Airport,Spirit Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Cosmetics & Grooming,-,In Review
353,2017103044829,2-Oct-17,9/30/2017 0:00,ATL,International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,-,*Insufficient
356,2017060540164,3-Apr-17,3/22/2017 0:00,ATL,International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
359,2017080342075,3-Aug-17,7/7/2017 5:26,ATL,International Airport,Southwest Airlines,Property Damage,Checked Baggage,Food & Drink,-,In Review
362,2017091342986,3-Aug-17,7/27/2017 0:00,ATL,International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing; Home Decor,-,In Review
365,2017041938694,3-Feb-17,1/27/2017 9:30,ATL,International Airport,Korean Airlines,Passenger Property Loss,Checked Baggage,Medical/Science,-,In Review
368,2017040438334,3-Feb-17,1/29/2017 11:30,ATL,International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Personal Accessories,$0.00,Deny
371,2017040438340,3-Feb-17,2/1/2017 11:00,ATL,International Airport,UAL,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,$0.00,Deny
374,2017041038453,3-Feb-17,1/8/2017 13:05,ATL,International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Personal Accessories,$0.00,Deny
377,2017081642231,3-Jul-17,7/1/2017 0:00,ATL,International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,In Review
380,2017081642229,3-Jul-17,6/17/2017 0:00,ATL,International Airport,Spirit Airlines,Passenger Property Loss,Checkpoint,Travel Accessories,-,In Review
383,2017042438856,3-Mar-17,2/19/2017 4:00,ATL,International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Cosmetics & Grooming,-,In Review
386,2017061940781,3-May-17,4/20/2017 0:00,ATL,International Airport,Delta Air Lines,Property Damage,Checked Baggage,Personal Electronics,-,In Review
389,2017061440615,3-May-17,4/26/2017 0:00,ATL,International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,$0.00,Deny
392,2017112945613,3-Nov-17,4/10/2017 16:44,ATL,International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Travel Accessories,-,In Review
395,2017100343902,3-Oct-17,10/3/2017 0:00,ATL,International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Travel Accessories,-,*Insufficient
398,2017061240459,4-Apr-17,3/24/2017 0:00,ATL,International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00,Deny
401,2017081042144,4-Aug-17,7/24/2017 0:00,ATL,International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Currency,-,In Review
404,2017092043282,4-Aug-17,7/22/2017 22:00,ATL,International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Currency,-,In Review
407,2017122246262,4-Dec-17,12/3/2017 0:00,ATL,International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,In Review
410,2018010446451,4-Dec-17,11/18/2017 0:00,ATL,International Airport,Delta Air Lines,Property Damage,Checked Baggage,Home Decor,-,In Review
413,2018010446469,4-Dec-17,10/26/2017 0:00,ATL,International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Baggage/Cases/Purses; Computer & Accessories; Currency,-,*Insufficient
416,2017032938272,4-Feb-17,1/3/2017 19:20,ATL,International Airport,UAL,Passenger Property Loss,Checked Baggage,Audio/Video; Computer & Accessories; Currency; Incidentals,-,In Review
419,2017102644803,4-Oct-17,10/2/2017 20:35,ATL,International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Cosmetics & Grooming,-,In Review
422,2017040538381,5-Apr-17,1/8/2017 0:00,ATL,International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Food & Drink,$0.00,Deny
425,2018010446477,5-Dec-17,11/25/2017 12:30,ATL,International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming; Toys & Games,-,In Review
428,2018010946615,5-Dec-17,2/12/2017 0:00,ATL,International Airport,Not Provided,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,In Review
431,2018011646813,5-Jan-17,12/12/2017 0:00,ATL,International Airport,-,Passenger Property Loss,Checkpoint,Currency,-,In Review
434,2017083142556,5-Jul-17,6/17/2017 6:00,ATL,International Airport,Delta Air Lines,Property Damage,Checked Baggage,Computer & Accessories,-,In Review
437,2017062340979,5-Jun-17,6/3/2017 0:00,ATL,International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
440,2017070741246,5-Jun-17,5/16/2017 0:00,ATL,International Airport,Delta Air Lines,Property Damage,Checkpoint,Baggage/Cases/Purses; Cameras; Clothing; Cosmetics & Grooming; Jewelry & Watches,-,In Review
443,2017072541812,5-Jun-17,6/3/2017 15:20,ATL,International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
446,2017041938716,5-Mar-17,2/2/2017 0:00,ATL,International Airport,-,Property Damage,Checkpoint,Computer & Accessories,-,In Review
449,2017100544051,5-Oct-17,7/11/2017 11:39,ATL,International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Sporting Equipment & Supplies,-,In Review
452,2017102544681,5-Oct-17,9/21/2017 0:00,ATL,International Airport,Southwest Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
455,2017102644698,5-Oct-17,9/30/2017 18:00,ATL,International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
458,2017120745798,5-Oct-17,9/23/2017 0:00,ATL,International Airport,Delta Air Lines,Property Damage,Checked Baggage,Clothing,-,In Review
